species,nitrogen,phosphorus,N,avgRGR,sd,se,label
LM,highN,highP,6,0.078863006,0.034558407,0.014108411,
SP,highN,highP,6,0.114567619,0.036748238,0.015002405,
WB,highN,highP,6,0.089897784,0.046303059,0.018903145,
LM,highN,lowP,6,0.002462316,0.034173365,0.013951218,
SP,highN,lowP,6,-0.012090423,0.05193776,0.021203502,
WB,highN,lowP,6,-0.033556927,0.088448585,0.036108984,
LM,highN,medP,6,0.075694497,0.025991622,0.010611035,
SP,highN,medP,6,0.119268451,0.037355868,0.015250469,
WB,highN,medP,6,0.062651525,0.035723934,0.014584235,
LM,lowN,highP,6,0.069450233,0.008693015,0.003548908,a
SP,lowN,highP,6,0.062443515,0.031222595,0.012746571,a
WB,lowN,highP,6,-0.020146451,0.046049377,0.018799579,b
LM,lowN,lowP,6,0.045716947,0.015647757,0.00638817,a
SP,lowN,lowP,6,0.041245671,0.039369036,0.016072341,a
WB,lowN,lowP,6,-0.040840926,0.014771895,0.006030601,b
LM,lowN,medP,6,0.066140938,0.006346394,0.002590905,a
SP,lowN,medP,6,0.052489555,0.016138242,0.00658841,a
WB,lowN,medP,6,-0.025408858,0.020583489,0.008403174,b
LM,medN,highP,6,0.117051899,0.029462967,0.012028206,
SP,medN,highP,6,0.120494839,0.034003634,0.013881925,
WB,medN,highP,6,0.0848445,0.04639508,0.018940712,
LM,medN,lowP,6,0.045948992,0.012641583,0.005160905,a
SP,medN,lowP,6,0.025937036,0.032888408,0.013426636,a
WB,medN,lowP,6,-0.055508944,0.049490927,0.020204586,b
LM,medN,medP,6,0.105576961,0.034610505,0.014129679,
SP,medN,medP,6,0.092026428,0.047664251,0.019458849,
WB,medN,medP,6,0.070403303,0.04776891,0.019501576,
